Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
An Officer and a Gentleman,1982,55th Academy Awards,4/11/1983,Best Supporting Actor,X,"Louis Gossett, Jr.",5/27/1936,46,
The Verdict,1982,55th Academy Awards,4/11/1983,Best Supporting Actor,,James Mason,5/15/1909,73,
Victor/Victoria,1982,55th Academy Awards,4/11/1983,Best Supporting Actor,,Robert Preston,6/8/1918,64,
The Best Little Whorehouse in Texas,1982,55th Academy Awards,4/11/1983,Best Supporting Actor,,Charles Durning,2/28/1923,60,
The World According to Garp,1982,55th Academy Awards,4/11/1983,Best Supporting Actor,,John Lithgow,10/19/1945,37,
Tootsie,1982,55th Academy Awards,4/11/1983,Best Supporting Actress,X,Jessica Lange,4/20/1949,33,
Frances,1982,55th Academy Awards,4/11/1983,Best Supporting Actress,,Kim Stanley,2/11/1925,58,
Tootsie,1982,55th Academy Awards,4/11/1983,Best Supporting Actress,,Teri Garr,12/11/1944,38,
Victor/Victoria,1982,55th Academy Awards,4/11/1983,Best Supporting Actress,,Lesley Ann Warren,8/16/1946,36,
The World According to Garp,1982,55th Academy Awards,4/11/1983,Best Supporting Actress,,Glenn Close,3/19/1947,36,
Tender Mercies,1983,56th Academy Awards,4/9/1984,Best Actor,X,Robert Duvall,1/5/1931,53,
Educating Rita,1983,56th Academy Awards,4/9/1984,Best Actor,,Michael Caine,3/14/1933,51,
The Dresser,1983,56th Academy Awards,4/9/1984,Best Actor,,Albert Finney,5/9/1936,47,
The Dresser,1983,56th Academy Awards,4/9/1984,Best Actor,,Tom Courtenay,2/25/1937,47,
"Reuben, Reuben",1983,56th Academy Awards,4/9/1984,Best Actor,,Tom Conti,11/22/1941,42,
Terms of Endearment,1983,56th Academy Awards,4/9/1984,Best Actress,X,Shirley MacLaine,4/24/1934,49,
Testament,1983,56th Academy Awards,4/9/1984,Best Actress,,Jane Alexander,10/28/1939,44,
Silkwood,1983,56th Academy Awards,4/9/1984,Best Actress,,Meryl Streep,6/22/1949,34,
Educating Rita,1983,56th Academy Awards,4/9/1984,Best Actress,,Julie Walters,2/22/1950,34,
Terms of Endearment,1983,56th Academy Awards,4/9/1984,Best Actress,,Debra Winger,5/16/1955,28,
Terms of Endearment,1983,56th Academy Awards,4/9/1984,Best Supporting Actor,X,Jack Nicholson,4/22/1937,46,
To Be or Not to Be,1983,56th Academy Awards,4/9/1984,Best Supporting Actor,,Charles Durning,2/28/1923,61,
Cross Creek,1983,56th Academy Awards,4/9/1984,Best Supporting Actor,,Rip Torn,2/6/1931,53,
The Right Stuff,1983,56th Academy Awards,4/9/1984,Best Supporting Actor,,Sam Shepard,11/5/1943,40,
Terms of Endearment,1983,56th Academy Awards,4/9/1984,Best Supporting Actor,,John Lithgow,10/19/1945,38,
The Year of Living Dangerously,1983,56th Academy Awards,4/9/1984,Best Supporting Actress,X,Linda Hunt,4/2/1945,39,
Silkwood,1983,56th Academy Awards,4/9/1984,Best Supporting Actress,,Cher,5/20/1946,37,
The Big Chill,1983,56th Academy Awards,4/9/1984,Best Supporting Actress,,Glenn Close,3/19/1947,37,
Cross Creek,1983,56th Academy Awards,4/9/1984,Best Supporting Actress,,Alfre Woodard,11/8/1952,31,
Yentl,1983,56th Academy Awards,4/9/1984,Best Supporting Actress,,Amy Irving,9/10/1953,30,
Amadeus,1984,57th Academy Awards,3/25/1985,Best Actor,X,F. Murray Abraham,10/24/1939,45,
Under the Volcano,1984,57th Academy Awards,3/25/1985,Best Actor,,Albert Finney,5/9/1936,48,
The Killing Fields,1984,57th Academy Awards,3/25/1985,Best Actor,,Sam Waterston,11/15/1940,44,
Starman,1984,57th Academy Awards,3/25/1985,Best Actor,,Jeff Bridges,12/4/1949,35,
Amadeus,1984,57th Academy Awards,3/25/1985,Best Actor,,Tom Hulce,12/6/1953,31,
Places in the Heart,1984,57th Academy Awards,3/25/1985,Best Actress,X,Sally Field,11/6/1946,38,
The Bostonians,1984,57th Academy Awards,3/25/1985,Best Actress,,Vanessa Redgrave,1/30/1937,48,
Country,1984,57th Academy Awards,3/25/1985,Best Actress,,Jessica Lange,4/20/1949,35,
The River,1984,57th Academy Awards,3/25/1985,Best Actress,,Sissy Spacek,12/25/1949,35,
A Passage to India,1984,57th Academy Awards,3/25/1985,Best Actress,,Judy Davis,4/23/1955,29,
The Killing Fields,1984,57th Academy Awards,3/25/1985,Best Supporting Actor,X,Haing S. Ngor,3/22/1940,45,
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,57th Academy Awards,3/25/1985,Best Supporting Actor,,Ralph Richardson,12/19/1902,82,
The Karate Kid,1984,57th Academy Awards,3/25/1985,Best Supporting Actor,,Noriyuki 'Pat' Morita,6/28/1932,52,
A Soldier's Story,1984,57th Academy Awards,3/25/1985,Best Supporting Actor,,Adolph Caesar,12/5/1933,51,
Places in the Heart,1984,57th Academy Awards,3/25/1985,Best Supporting Actor,,John Malkovich,12/9/1953,31,
A Passage to India,1984,57th Academy Awards,3/25/1985,Best Supporting Actress,X,Peggy Ashcroft,12/22/1907,77,
The Pope of Greenwich Village,1984,57th Academy Awards,3/25/1985,Best Supporting Actress,,Geraldine Page,11/22/1924,60,
The Natural,1984,57th Academy Awards,3/25/1985,Best Supporting Actress,,Glenn Close,3/19/1947,38,
Places in the Heart,1984,57th Academy Awards,3/25/1985,Best Supporting Actress,,Lindsay Crouse,5/12/1948,36,
Swing Shift,1984,57th Academy Awards,3/25/1985,Best Supporting Actress,,Christine Lahti,4/4/1950,34,
Kiss of the Spider Woman,1985,58th Academy Awards,3/24/1986,Best Actor,X,William Hurt,3/20/1950,36,
Murphy's Romance,1985,58th Academy Awards,3/24/1986,Best Actor,,James Garner,4/7/1928,58,
Prizzi's Honor,1985,58th Academy Awards,3/24/1986,Best Actor,,Jack Nicholson,4/22/1937,48,
Runaway Train,1985,58th Academy Awards,3/24/1986,Best Actor,,Jon Voight,12/29/1938,47,
Witness,1985,58th Academy Awards,3/24/1986,Best Actor,,Harrison Ford,7/13/1942,43,
The Trip to Bountiful,1985,58th Academy Awards,3/24/1986,Best Actress,X,Geraldine Page,11/22/1924,61,
Agnes of God,1985,58th Academy Awards,3/24/1986,Best Actress,,Anne Bancroft,9/17/1931,54,
Sweet Dreams,1985,58th Academy Awards,3/24/1986,Best Actress,,Jessica Lange,4/20/1949,36,
Out of Africa,1985,58th Academy Awards,3/24/1986,Best Actress,,Meryl Streep,6/22/1949,36,
The Color Purple,1985,58th Academy Awards,3/24/1986,Best Actress,,Whoopi Goldberg,11/13/1955,30,
Cocoon,1985,58th Academy Awards,3/24/1986,Best Supporting Actor,X,Don Ameche,5/31/1908,77,
Prizzi's Honor,1985,58th Academy Awards,3/24/1986,Best Supporting Actor,,William Hickey,9/19/1927,58,
Jagged Edge,1985,58th Academy Awards,3/24/1986,Best Supporting Actor,,Robert Loggia,1/3/1930,56,
Out of Africa,1985,58th Academy Awards,3/24/1986,Best Supporting Actor,,Klaus Maria Brandauer,6/22/1943,42,
Runaway Train,1985,58th Academy Awards,3/24/1986,Best Supporting Actor,,Eric Roberts,4/18/1956,29,
Prizzi's Honor,1985,58th Academy Awards,3/24/1986,Best Supporting Actress,X,Anjelica Huston,7/8/1951,34,
The Color Purple,1985,58th Academy Awards,3/24/1986,Best Supporting Actress,,Margaret Avery,1/20/1944,42,
Twice in a Lifetime,1985,58th Academy Awards,3/24/1986,Best Supporting Actress,,Amy Madigan,9/11/1950,35,
The Color Purple,1985,58th Academy Awards,3/24/1986,Best Supporting Actress,,Oprah Winfrey,1/29/1954,32,
Agnes of God,1985,58th Academy Awards,3/24/1986,Best Supporting Actress,,Meg Tilly,2/14/1960,26,
The Color of Money,1986,59th Academy Awards,3/30/1987,Best Actor,X,Paul Newman,1/26/1925,62,
'Round Midnight,1986,59th Academy Awards,3/30/1987,Best Actor,,Dexter Gordon,2/27/1923,64,
Mona Lisa,1986,59th Academy Awards,3/30/1987,Best Actor,,Bob Hoskins,10/26/1942,44,
Salvador,1986,59th Academy Awards,3/30/1987,Best Actor,,James Woods,4/18/1947,39,
Children of a Lesser God,1986,59th Academy Awards,3/30/1987,Best Actor,,William Hurt,3/20/1950,37,
Children of a Lesser God,1986,59th Academy Awards,3/30/1987,Best Actress,X,Marlee Matlin,8/24/1965,21,
The Morning After,1986,59th Academy Awards,3/30/1987,Best Actress,,Jane Fonda,12/21/1937,49,
Aliens,1986,59th Academy Awards,3/30/1987,Best Actress,,Sigourney Weaver,10/8/1949,37,
Crimes of the Heart,1986,59th Academy Awards,3/30/1987,Best Actress,,Sissy Spacek,12/25/1949,37,
Peggy Sue Got Married,1986,59th Academy Awards,3/30/1987,Best Actress,,Kathleen Turner,6/19/1954,32,
Hannah and Her Sisters,1986,59th Academy Awards,3/30/1987,Best Supporting Actor,X,Michael Caine,3/14/1933,54,
A Room with a View,1986,59th Academy Awards,3/30/1987,Best Supporting Actor,,Denholm Elliott,5/31/1922,64,
Hoosiers,1986,59th Academy Awards,3/30/1987,Best Supporting Actor,,Dennis Hopper,5/17/1936,50,
Platoon,1986,59th Academy Awards,3/30/1987,Best Supporting Actor,,Tom Berenger,5/31/1949,37,
Platoon,1986,59th Academy Awards,3/30/1987,Best Supporting Actor,,Willem Dafoe,7/22/1955,31,
Hannah and Her Sisters,1986,59th Academy Awards,3/30/1987,Best Supporting Actress,X,Dianne Wiest,3/28/1948,39,
Children of a Lesser God,1986,59th Academy Awards,3/30/1987,Best Supporting Actress,,Piper Laurie,1/22/1932,55,
A Room with a View,1986,59th Academy Awards,3/30/1987,Best Supporting Actress,,Maggie Smith,12/28/1934,52,
Crimes of the Heart,1986,59th Academy Awards,3/30/1987,Best Supporting Actress,,Tess Harper,8/15/1950,36,
The Color of Money,1986,59th Academy Awards,3/30/1987,Best Supporting Actress,,Mary Elizabeth Mastrantonio,11/17/1958,28,
Wall Street,1987,60th Academy Awards,4/11/1988,Best Actor,X,Michael Douglas,9/25/1944,43,
Dark Eyes,1987,60th Academy Awards,4/11/1988,Best Actor,,Marcello Mastroianni,9/28/1924,63,
Ironweed,1987,60th Academy Awards,4/11/1988,Best Actor,,Jack Nicholson,4/22/1937,51,
Broadcast News,1987,60th Academy Awards,4/11/1988,Best Actor,,William Hurt,3/20/1950,38,
"Good Morning, Vietnam",1987,60th Academy Awards,4/11/1988,Best Actor,,Robin Williams,7/21/1951,36,
Moonstruck,1987,60th Academy Awards,4/11/1988,Best Actress,X,Cher,5/20/1946,41,
Anna,1987,60th Academy Awards,4/11/1988,Best Actress,,Sally Kirkland,10/31/1941,46,
Fatal Attraction,1987,60th Academy Awards,4/11/1988,Best Actress,,Glenn Close,3/19/1947,41,
Ironweed,1987,60th Academy Awards,4/11/1988,Best Actress,,Meryl Streep,6/22/1949,38,
Broadcast News,1987,60th Academy Awards,4/11/1988,Best Actress,,Holly Hunter,3/20/1958,30,
The Untouchables,1987,60th Academy Awards,4/11/1988,Best Supporting Actor,X,Sean Connery,8/25/1930,57,
Moonstruck,1987,60th Academy Awards,4/11/1988,Best Supporting Actor,,Vincent Gardenia,1/7/1920,68,
Street Smart,1987,60th Academy Awards,4/11/1988,Best Supporting Actor,,Morgan Freeman,6/1/1937,50,
Broadcast News,1987,60th Academy Awards,4/11/1988,Best Supporting Actor,,Albert Brooks,7/22/1947,40,
Cry Freedom,1987,60th Academy Awards,4/11/1988,Best Supporting Actor,,Denzel Washington,12/28/1954,33,
Moonstruck,1987,60th Academy Awards,4/11/1988,Best Supporting Actress,X,Olympia Dukakis,6/20/1931,56,
The Whales of August,1987,60th Academy Awards,4/11/1988,Best Supporting Actress,,Ann Sothern,1/22/1909,79,
Throw Momma From the Train,1987,60th Academy Awards,4/11/1988,Best Supporting Actress,,Anne Ramsey,3/27/1929,59,
Gaby - A True Story,1987,60th Academy Awards,4/11/1988,Best Supporting Actress,,Norma Aleandro,5/2/1936,51,
Fatal Attraction,1987,60th Academy Awards,4/11/1988,Best Supporting Actress,,Anne Archer,8/24/1947,40,
Rain Man,1988,61st Academy Awards,3/29/1989,Best Actor,X,Dustin Hoffman,8/8/1937,51,
Pelle the Conqueror,1988,61st Academy Awards,3/29/1989,Best Actor,,Max von Sydow,4/10/1929,60,
Mississippi Burning,1988,61st Academy Awards,3/29/1989,Best Actor,,Gene Hackman,1/30/1930,59,
Stand and Deliver,1988,61st Academy Awards,3/29/1989,Best Actor,,Edward James Olmos,2/24/1947,42,
Big,1988,61st Academy Awards,3/29/1989,Best Actor,,Tom Hanks,7/9/1956,32,
The Accused,1988,61st Academy Awards,3/29/1989,Best Actress,X,Jodie Foster,11/19/1962,26,
Dangerous Liaisons,1988,61st Academy Awards,3/29/1989,Best Actress,,Glenn Close,3/19/1947,42,
A Cry in the Dark,1988,61st Academy Awards,3/29/1989,Best Actress,,Meryl Streep,6/22/1949,39,
Gorillas in the Mist,1988,61st Academy Awards,3/29/1989,Best Actress,,Sigourney Weaver,10/8/1949,39,
Working Girl,1988,61st Academy Awards,3/29/1989,Best Actress,,Melanie Griffith,8/9/1957,31,
A Fish Called Wanda,1988,61st Academy Awards,3/29/1989,Best Supporting Actor,X,Kevin Kline,10/24/1947,41,
Little Dorrit,1988,61st Academy Awards,3/29/1989,Best Supporting Actor,,Alec Guinness,4/2/1914,75,
Tucker: The Man and His Dream,1988,61st Academy Awards,3/29/1989,Best Supporting Actor,,Martin Landau,6/20/1928,60,
Married to the Mob,1988,61st Academy Awards,3/29/1989,Best Supporting Actor,,Dean Stockwell,3/5/1936,53,
Running on Empty,1988,61st Academy Awards,3/29/1989,Best Supporting Actor,,River Phoenix,8/23/1970,18,
The Accidental Tourist,1988,61st Academy Awards,3/29/1989,Best Supporting Actress,X,Geena Davis,1/21/1956,33,
Working Girl,1988,61st Academy Awards,3/29/1989,Best Supporting Actress,,Sigourney Weaver,10/8/1949,39,
Mississippi Burning,1988,61st Academy Awards,3/29/1989,Best Supporting Actress,,Frances McDormand,6/23/1957,31,
Dangerous Liaisons,1988,61st Academy Awards,3/29/1989,Best Supporting Actress,,Michelle Pfeiffer,4/29/1958,30,
Working Girl,1988,61st Academy Awards,3/29/1989,Best Supporting Actress,,Joan Cusack,10/11/1962,26,
My Left Foot,1989,62nd Academy Awards,3/26/1990,Best Actor,X,Daniel Day-Lewis,4/29/1957,32,
Driving Miss Daisy,1989,62nd Academy Awards,3/26/1990,Best Actor,,Morgan Freeman,6/1/1937,52,
Dead Poets Society,1989,62nd Academy Awards,3/26/1990,Best Actor,,Robin Williams,7/21/1951,38,
Henry V,1989,62nd Academy Awards,3/26/1990,Best Actor,,Kenneth Branagh,12/10/1960,29,
Born on the Fourth of July,1989,62nd Academy Awards,3/26/1990,Best Actor,,Tom Cruise,7/3/1962,27,
Driving Miss Daisy,1989,62nd Academy Awards,3/26/1990,Best Actress,X,Jessica Tandy,6/7/1909,80,
Shirley Valentine,1989,62nd Academy Awards,3/26/1990,Best Actress,,Pauline Collins,9/3/1940,49,
Music Box,1989,62nd Academy Awards,3/26/1990,Best Actress,,Jessica Lange,4/20/1949,40,
Camille Claudel,1989,62nd Academy Awards,3/26/1990,Best Actress,,Isabelle Adjani,6/27/1955,34,
The Fabulous Baker Boys,1989,62nd Academy Awards,3/26/1990,Best Actress,,Michelle Pfeiffer,4/29/1958,31,
Glory,1989,62nd Academy Awards,3/26/1990,Best Supporting Actor,X,Denzel Washington,12/28/1954,35,
A Dry White Season,1989,62nd Academy Awards,3/26/1990,Best Supporting Actor,,Marlon Brando,4/3/1924,66,
Crimes and Misdemeanors,1989,62nd Academy Awards,3/26/1990,Best Supporting Actor,,Martin Landau,6/20/1928,61,
Do the Right Thing,1989,62nd Academy Awards,3/26/1990,Best Supporting Actor,,Danny Aiello,6/20/1933,56,
Driving Miss Daisy,1989,62nd Academy Awards,3/26/1990,Best Supporting Actor,,Dan Aykroyd,7/1/1952,37,
My Left Foot,1989,62nd Academy Awards,3/26/1990,Best Supporting Actress,X,Brenda Fricker,2/17/1945,45,
Parenthood,1989,62nd Academy Awards,3/26/1990,Best Supporting Actress,,Dianne Wiest,3/28/1948,42,
Enemies: A Love Story,1989,62nd Academy Awards,3/26/1990,Best Supporting Actress,,Anjelica Huston,7/8/1951,38,
Enemies: A Love Story,1989,62nd Academy Awards,3/26/1990,Best Supporting Actress,,Lena Olin,3/22/1955,35,
Steel Magnolias,1989,62nd Academy Awards,3/26/1990,Best Supporting Actress,,Julia Roberts,10/28/1967,22,
Reversal of Fortune,1990,63rd Academy Awards,3/25/1991,Best Actor,X,Jeremy Irons,9/19/1948,42,
The Field,1990,63rd Academy Awards,3/25/1991,Best Actor,,Richard Harris,10/1/1930,60,
Awakenings,1990,63rd Academy Awards,3/25/1991,Best Actor,,Robert De Niro,8/17/1943,47,
Cyrano De Bergerac,1990,63rd Academy Awards,3/25/1991,Best Actor,,Gerard Depardieu,12/27/1948,42,
Dances with Wolves,1990,63rd Academy Awards,3/25/1991,Best Actor,,Kevin Costner,1/18/1955,36,
Misery,1990,63rd Academy Awards,3/25/1991,Best Actress,X,Kathy Bates,6/28/1948,42,
Mr. & Mrs. Bridge,1990,63rd Academy Awards,3/25/1991,Best Actress,,Joanne Woodward,2/27/1930,61,
Postcards From the Edge,1990,63rd Academy Awards,3/25/1991,Best Actress,,Meryl Streep,6/22/1949,41,
The Grifters,1990,63rd Academy Awards,3/25/1991,Best Actress,,Anjelica Huston,7/8/1951,39,
Pretty Woman,1990,63rd Academy Awards,3/25/1991,Best Actress,,Julia Roberts,10/28/1967,23,
Good Fellas,1990,63rd Academy Awards,3/25/1991,Best Supporting Actor,X,Joe Pesci,2/9/1943,48,
Dances with Wolves,1990,63rd Academy Awards,3/25/1991,Best Supporting Actor,,Graham Greene,10/2/1904,86,
Dick Tracy,1990,63rd Academy Awards,3/25/1991,Best Supporting Actor,,Al Pacino,4/25/1940,50,
Longtime Companion,1990,63rd Academy Awards,3/25/1991,Best Supporting Actor,,Bruce Davison,6/28/1946,44,
"The Godfather, Part III",1990,63rd Academy Awards,3/25/1991,Best Supporting Actor,,Andy Garcia,4/12/1956,34,
Ghost,1990,63rd Academy Awards,3/25/1991,Best Supporting Actress,X,Whoopi Goldberg,11/13/1955,35,
Wild at Heart,1990,63rd Academy Awards,3/25/1991,Best Supporting Actress,,Diane Ladd,11/29/1935,55,
Dances with Wolves,1990,63rd Academy Awards,3/25/1991,Best Supporting Actress,,Mary McDonnell,4/28/1952,38,
Good Fellas,1990,63rd Academy Awards,3/25/1991,Best Supporting Actress,,Lorraine Bracco,10/2/1954,36,
The Grifters,1990,63rd Academy Awards,3/25/1991,Best Supporting Actress,,Annette Bening,5/29/1958,32,
The Silence of the Lambs,1991,64th Academy Awards,3/30/1992,Best Actor,X,Anthony Hopkins,12/31/1937,54,
Bugsy,1991,64th Academy Awards,3/30/1992,Best Actor,,Warren Beatty,3/30/1937,55,
The Prince of Tides,1991,64th Academy Awards,3/30/1992,Best Actor,,Nick Nolte,2/8/1941,51,
Cape Fear,1991,64th Academy Awards,3/30/1992,Best Actor,,Robert De Niro,8/17/1943,48,
The Fisher King,1991,64th Academy Awards,3/30/1992,Best Actor,,Robin Williams,7/21/1951,40,
The Silence of the Lambs,1991,64th Academy Awards,3/30/1992,Best Actress,X,Jodie Foster,11/19/1962,29,
For the Boys,1991,64th Academy Awards,3/30/1992,Best Actress,,Bette Midler,12/1/1945,46,
Thelma & Louise,1991,64th Academy Awards,3/30/1992,Best Actress,,Susan Sarandon,10/4/1946,45,
Thelma & Louise,1991,64th Academy Awards,3/30/1992,Best Actress,,Geena Davis,1/21/1956,36,
Rambling Rose,1991,64th Academy Awards,3/30/1992,Best Actress,,Laura Dern,2/10/1967,25,
City Slickers,1991,64th Academy Awards,3/30/1992,Best Supporting Actor,X,Jack Palance,2/18/1919,73,
Bugsy,1991,64th Academy Awards,3/30/1992,Best Supporting Actor,,Harvey Keitel,5/13/1939,52,
Barton Fink,1991,64th Academy Awards,3/30/1992,Best Supporting Actor,,Michael Lerner,6/22/1941,50,
Bugsy,1991,64th Academy Awards,3/30/1992,Best Supporting Actor,,Ben Kingsley,12/31/1943,48,
JFK,1991,64th Academy Awards,3/30/1992,Best Supporting Actor,,Tommy Lee Jones,9/15/1946,45,
The Fisher King,1991,64th Academy Awards,3/30/1992,Best Supporting Actress,X,Mercedes Ruehl,2/28/1948,44,
Fried Green Tomatoes,1991,64th Academy Awards,3/30/1992,Best Supporting Actress,,Jessica Tandy,6/7/1909,82,
Rambling Rose,1991,64th Academy Awards,3/30/1992,Best Supporting Actress,,Diane Ladd,11/29/1935,56,
The Prince of Tides,1991,64th Academy Awards,3/30/1992,Best Supporting Actress,,Kate Nelligan,3/16/1951,41,
Cape Fear,1991,64th Academy Awards,3/30/1992,Best Supporting Actress,,Juliette Lewis,6/21/1973,18,
Scent of a Woman,1992,65th Academy Awards,3/29/1993,Best Actor,X,Al Pacino,4/25/1940,52,
Unforgiven,1992,65th Academy Awards,3/29/1993,Best Actor,,Clint Eastwood,5/31/1930,62,
The Crying Game,1992,65th Academy Awards,3/29/1993,Best Actor,,Stephen Rea,10/31/1946,46,
Malcolm X,1992,65th Academy Awards,3/29/1993,Best Actor,,Denzel Washington,12/28/1954,38,
Chaplin,1992,65th Academy Awards,3/29/1993,Best Actor,,"Robert Downey, Jr.",4/4/1965,28,
Howards End,1992,65th Academy Awards,3/29/1993,Best Actress,X,Emma Thompson,4/15/1959,33,
Indochine,1992,65th Academy Awards,3/29/1993,Best Actress,,Catherine Deneuve,10/22/1943,49,
Lorenzo's Oil,1992,65th Academy Awards,3/29/1993,Best Actress,,Susan Sarandon,10/4/1946,46,
Passion Fish,1992,65th Academy Awards,3/29/1993,Best Actress,,Mary McDonnell,4/28/1952,40,
Love Field,1992,65th Academy Awards,3/29/1993,Best Actress,,Michelle Pfeiffer,4/29/1958,34,
Unforgiven,1992,65th Academy Awards,3/29/1993,Best Supporting Actor,X,Gene Hackman,1/30/1930,63,
A Few Good Men,1992,65th Academy Awards,3/29/1993,Best Supporting Actor,,Jack Nicholson,4/22/1937,55,
Glengarry Glen Ross,1992,65th Academy Awards,3/29/1993,Best Supporting Actor,,Al Pacino,4/25/1940,52,
Mr. Saturday Night,1992,65th Academy Awards,3/29/1993,Best Supporting Actor,,David Paymer,8/30/1954,38,
The Crying Game,1992,65th Academy Awards,3/29/1993,Best Supporting Actor,,Jaye Davidson,3/21/1968,25,
My Cousin Vinny,1992,65th Academy Awards,3/29/1993,Best Supporting Actress,X,Marisa Tomei,12/4/1964,28,
Enchanted April,1992,65th Academy Awards,3/29/1993,Best Supporting Actress,,Joan Plowright,10/28/1929,63,
Howards End,1992,65th Academy Awards,3/29/1993,Best Supporting Actress,,Vanessa Redgrave,1/30/1937,56,
Husbands and Wives,1992,65th Academy Awards,3/29/1993,Best Supporting Actress,,Judy Davis,4/23/1955,37,
Damage,1992,65th Academy Awards,3/29/1993,Best Supporting Actress,,Miranda Richardson,3/3/1958,35,
Philadelphia,1993,66th Academy Awards,3/21/1994,Best Actor,X,Tom Hanks,7/9/1956,37,
The Remains of the Day,1993,66th Academy Awards,3/21/1994,Best Actor,,Anthony Hopkins,12/31/1937,56,
Schindler's List,1993,66th Academy Awards,3/21/1994,Best Actor,,Liam Neeson,6/7/1952,41,
In the Name of the Father,1993,66th Academy Awards,3/21/1994,Best Actor,,Daniel Day-Lewis,4/29/1957,36,
What's Love Got to Do with It,1993,66th Academy Awards,3/21/1994,Best Actor,,Laurence Fishburne,7/30/1961,32,
The Piano,1993,66th Academy Awards,3/21/1994,Best Actress,X,Holly Hunter,3/20/1958,36,
Six Degrees of Separation,1993,66th Academy Awards,3/21/1994,Best Actress,,Stockard Channing,2/13/1944,50,
Shadowlands,1993,66th Academy Awards,3/21/1994,Best Actress,,Debra Winger,5/16/1955,38,
What's Love Got to Do with It,1993,66th Academy Awards,3/21/1994,Best Actress,,Angela Bassett,8/16/1958,35,
The Remains of the Day,1993,66th Academy Awards,3/21/1994,Best Actress,,Emma Thompson,4/15/1959,34,
The Fugitive,1993,66th Academy Awards,3/21/1994,Best Supporting Actor,X,Tommy Lee Jones,9/15/1946,47,
In the Name of the Father,1993,66th Academy Awards,3/21/1994,Best Supporting Actor,,Pete Postlethwaite,2/7/1946,48,
In the Line of Fire,1993,66th Academy Awards,3/21/1994,Best Supporting Actor,,John Malkovich,12/9/1953,40,
Schindler's List,1993,66th Academy Awards,3/21/1994,Best Supporting Actor,,Ralph Fiennes,12/22/1962,31,
What's Eating Gilbert Grape,1993,66th Academy Awards,3/21/1994,Best Supporting Actor,,Leonardo DiCaprio,11/11/1974,19,
The Piano,1993,66th Academy Awards,3/21/1994,Best Supporting Actress,X,Anna Paquin,7/24/1982,11,
The Firm,1993,66th Academy Awards,3/21/1994,Best Supporting Actress,,Holly Hunter,3/20/1958,36,
In the Name of the Father,1993,66th Academy Awards,3/21/1994,Best Supporting Actress,,Emma Thompson,4/15/1959,34,
Fearless,1993,66th Academy Awards,3/21/1994,Best Supporting Actress,,Rosie Perez,9/6/1964,29,
The Age of Innocence,1993,66th Academy Awards,3/21/1994,Best Supporting Actress,,Winona Ryder,10/29/1971,22,
Forrest Gump,1994,67th Academy Awards,3/27/1995,Best Actor,X,Tom Hanks,7/9/1956,38,
Nobody's Fool,1994,67th Academy Awards,3/27/1995,Best Actor,,Paul Newman,1/26/1925,70,
The Madness of King George,1994,67th Academy Awards,3/27/1995,Best Actor,,Nigel Hawthorne,4/5/1929,66,
The Shawshank Redemption,1994,67th Academy Awards,3/27/1995,Best Actor,,Morgan Freeman,6/1/1937,57,
Pulp Fiction,1994,67th Academy Awards,3/27/1995,Best Actor,,John Travolta,2/18/1954,41,
Blue Sky,1994,67th Academy Awards,3/27/1995,Best Actress,X,Jessica Lange,4/20/1949,45,
The Client,1994,67th Academy Awards,3/27/1995,Best Actress,,Susan Sarandon,10/4/1946,48,
Tom & Viv,1994,67th Academy Awards,3/27/1995,Best Actress,,Miranda Richardson,3/3/1958,37,
Nell,1994,67th Academy Awards,3/27/1995,Best Actress,,Jodie Foster,11/19/1962,32,
Little Women,1994,67th Academy Awards,3/27/1995,Best Actress,,Winona Ryder,10/29/1971,23,
Ed Wood,1994,67th Academy Awards,3/27/1995,Best Supporting Actor,X,Martin Landau,6/20/1928,66,
Quiz Show,1994,67th Academy Awards,3/27/1995,Best Supporting Actor,,Paul Scofield,1/21/1922,73,
Bullets Over Broadway,1994,67th Academy Awards,3/27/1995,Best Supporting Actor,,Chazz Palminteri,5/15/1946,48,
Pulp Fiction,1994,67th Academy Awards,3/27/1995,Best Supporting Actor,,Samuel L. Jackson,12/21/1948,46,
Forrest Gump,1994,67th Academy Awards,3/27/1995,Best Supporting Actor,,Gary Sinise,3/17/1955,40,
Bullets Over Broadway,1994,67th Academy Awards,3/27/1995,Best Supporting Actress,X,Dianne Wiest,3/28/1948,47,
Tom & Viv,1994,67th Academy Awards,3/27/1995,Best Supporting Actress,,Rosemary Harris,9/19/1927,67,
The Madness of King George,1994,67th Academy Awards,3/27/1995,Best Supporting Actress,,Helen Mirren,7/26/1945,49,
Bullets Over Broadway,1994,67th Academy Awards,3/27/1995,Best Supporting Actress,,Jennifer Tilly,9/16/1958,36,
Pulp Fiction,1994,67th Academy Awards,3/27/1995,Best Supporting Actress,,Uma Thurman,4/29/1970,24,
Leaving Las Vegas,1995,68th Academy Awards,3/25/1996,Best Actor,X,Nicolas Cage,1/7/1964,32,
Nixon,1995,68th Academy Awards,3/25/1996,Best Actor,,Anthony Hopkins,12/31/1937,58,
Mr. Holland's Opus,1995,68th Academy Awards,3/25/1996,Best Actor,,Richard Dreyfuss,10/29/1947,48,
